STT	Tiếng Trung	Pinyin	Từ loại	Dịch nghĩa
1	爱	ài	động từ	yêu
2	爱好	àihào	động từ / danh từ	mê, ham, yêu thích / sở thích
3	八	bā	số từ	tám
4	爸爸｜爸	bàba｜ bà	danh từ	bố
5	吧	ba	trợ từ	đi, nhé, nhỉ (đứng cuối câu)
6	白	bái	tính từ	trắng
7	白天	báitiān	danh từ	ban ngày
8	百	bǎi	số từ	trăm
9	班	bān	danh từ / lượng từ	lớp, lớp học / lớp, ca (làm việc)
10	半	bàn	số từ	một nửa
11	半年	bàn nián		nửa năm
12	半天	bàntiān		nửa ngày
13	帮	bāng	động từ	giúp đỡ
14	帮忙	bāng//máng		giúp đỡ
15	包	bāo	danh từ / lượng từ / động từ	túi, bao, ví / bao, gói, túi / bọc / bao gồm
16	包子	bāozi	danh từ	bánh bao
17	杯	bii	lượng từ	cốc, ly
18	杯子	biizi	danh từ	chiếc cốc, ly
19	北	bii	danh từ	bắc (hướng bắc)
20	北边	biibian	danh từ	phía bắc, hướng bắc
21	北京	Biijīng	danh từ	Bắc Kinh
22	本	bin	lượng từ	"vở, tập, cuốn
(dùng cho sách vở sổ sách)"
23	本子	binzi	danh từ	vở, tập, cuốn vở
24	比	bǐ	giới từ / động từ	so, hơn, so với / so sánh / sánh bằng / ra hiệu
25	别	bii	phó từ	chớ, đừng, không được
26	别的	biide	đại từ	khác, cái khác
27	别人	bii·rin	đại từ	người khác
28	病	bìng	danh từ / động từ	bệnh, ốm đau / bị ốm, bị bệnh
29	病人	bìngrin	danh từ	bệnh nhân
30	不大	bú dà		ít khi / không quá, không ... lắm
31	不对	búduì	tính từ	không đúng
32	不客气	bú kiqì		không có gì (đáp lại lời cảm ơn)
33	不用	búyòng	phó từ	không cần
34	不	bù	phó từ	chả, chẳng,  không
35	菜	cài	danh từ	món ăn, rau củ
36	茶	chá	danh từ	trà
37	差	chà	động từ / tính từ	thiếu, kém, không đủ / kém, tệ, không tốt
38	常	cháng	phó từ	thường, thường xuyên
39	常常	chángcháng	phó từ	thường, thường thường
40	唱	chàng	động từ	hát, ca, kêu
41	唱歌	chàng//gi		hát
42	车	chi	danh từ	xe
43	车票	chipiào	danh từ	vé xe
44	车上	chi shang		trên xe
45	车站	chizhàn	danh từ	ga, bến xe
46	吃	chī	động từ	ăn
47	吃饭	chī//fàn		ăn cơm
48	出	chū	động từ	ra, xuất
49	出来	chū// · lái		đi ra, ra đây
50	出去	chū// · qù		ra ngoài
51	穿	chuān	động từ	mặc, đi, mang, đeo
52	床	chuáng	danh từ	giường
53	次	cì	lượng từ	lần
54	从	cóng	giới từ	từ, theo
55	错	cuò	tính từ / danh từ	sai, nhầm / tệ, kém / sai lầm, lỗi sai
56	打	dǎ	động từ	gõ, đập, đánh
57	打车	dǎ//chi		bắt xe, gọi xe taxi, bắt taxi
58	打电话	dǎ diànhuà		gọi điện thoại
59	打开	dǎ//kāi		mở ra, kéo ra, tháo gỡ
60	打球	dǎ qiú		đánh bóng
61	大	dà	tính từ	lớn, to
62	大学	dàxui	danh từ	đại học
63	大学生	dàxuishing	danh từ	sinh viên
64	到	dào	động từ	đến
65	得到	di//dào		được, đạt được, nhận được
66	地	de	trợ từ	"mà, một cách (diễn tả cách thức hành động
theo tính từ, nhấn mạnh trạng thái)"
